PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
200746,"Aldridge, LaMarcus",LaMarcus Aldridge,1,2006,2021,lamarcus_aldridge,lamarcus_aldridge,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,00
1626147,"Anderson, Justin",Justin Anderson,0,2015,2021,justin_anderson,justin_anderson,0,,,,,,Y,11
2546,"Anthony, Carmelo",Carmelo Anthony,1,2003,2021,carmelo_anthony,carmelo_anthony,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,00
1627853,"Arcidiacono, Ryan",Ryan Arcidiacono,1,2017,2023,ryan_arcidiacono,ryan_arcidiacono,1610612752,New York,Knicks,NYK,knicks,knicks,Y,11
2772,"Ariza, Trevor",Trevor Ariza,0,2004,2021,trevor_ariza,trevor_ariza,0,,,,,,Y,00
201571,"Augustin, D.J.",D.J. Augustin,1,2008,2022,d.j._augustin,dj_augustin,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,00
1630555,"Ayayi, Joel",Joel Ayayi,0,2021,2021,joel_ayayi,joel_ayayi,0,,,,,,Y,11
1627760,"Barber, Cat",Cat Barber,0,2021,2021,cat_barber,cat_barber,0,,,,,,Y,11
1628238,"Bass, Paris",Paris Bass,0,2021,2021,paris_bass,paris_bass,0,,,,,,Y,11
203145,"Bazemore, Kent",Kent Bazemore,1,2012,2021,kent_bazemore,kent_bazemore,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,01
1628395,"Bell, Jordan",Jordan Bell,0,2017,2021,jordan_bell,jordan_bell,0,,,,,,Y,11
1627761,"Bembry, DeAndre'",DeAndre' Bembry,0,2016,2021,deandre'_bembry,deandre_bembry,0,,,,,,Y,01
202357,"Bjelica, Nemanja",Nemanja Bjelica,1,2015,2021,nemanja_bjelica,nemanja_bjelica,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,00
202339,"Bledsoe, Eric",Eric Bledsoe,1,2010,2021,eric_bledsoe,eric_bledsoe,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,01
1629833,"Blevins, Keljin",Keljin Blevins,1,2020,2021,keljin_blevins,keljin_blevins,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,01
1630195,"Bolmaro, Leandro",Leandro Bolmaro,1,2021,2022,leandro_bolmaro,leandro_bolmaro,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,11
1629067,"Bonga, Isaac",Isaac Bonga,1,2018,2021,isaac_bonga,isaac_bonga,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,11
202340,"Bradley, Avery",Avery Bradley,1,2010,2021,avery_bradley,avery_bradley,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,01
1629649,"Brazdeikis, Ignas",Ignas Brazdeikis,1,2019,2021,ignas_brazdeikis,ignas_brazdeikis,1610612753,Orlando,Magic,ORL,magic,magic,Y,11
1629717,"Brooks, Armoni",Armoni Brooks,1,2020,2023,armoni_brooks,armoni_brooks,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,11
1628425,"Brown, Sterling",Sterling Brown,1,2017,2022,sterling_brown,sterling_brown,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,01
1630602,"Brown Jr., Chaundee",Chaundee Brown Jr.,1,2021,2021,chaundee_brown,chaundee_brown_jr,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,11
1629783,"Buchanan, Shaq",Shaq Buchanan,0,2021,2021,shaq_buchanan,shaq_buchanan,0,,,,,,Y,11
203504,"Burke, Trey",Trey Burke,1,2013,2021,trey_burke,trey_burke,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,01
1629719,"Cacok, Devontae",Devontae Cacok,1,2019,2021,davontae_cacok,devontae_cacok,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,11
1630267,"Campazzo, Facundo",Facundo Campazzo,1,2020,2022,facundo_campazzo,facundo_campazzo,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,00
1629962,"Cannady, Devin",Devin Cannady,1,2020,2021,devin_cannady,devin_cannady,1610612753,Orlando,Magic,ORL,magic,magic,Y,11
1626161,"Cauley-Stein, Willie",Willie Cauley-Stein,0,2015,2022,willie_cauley-stein,willie_cauley-stein,0,,,,,,Y,01
1629958,"Caver, Ahmad",Ahmad Caver,0,2021,2021,ahmad_caver,ahmad_caver,0,,,,,,Y,11
1629597,"Cheatham, Zylan",Zylan Cheatham,0,2019,2021,zylan_cheatham,zylan_cheatham,0,,,,,,Y,11
1629185,"Chiozza, Chris",Chris Chiozza,1,2018,2021,chris_chiozza,chris_chiozza,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,11
1627737,"Chriss, Marquese",Marquese Chriss,1,2016,2021,marquese_chriss,marquese_chriss,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,01
1629109,"Clark, Gary",Gary Clark,1,2018,2021,gary_clark,gary_clark,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,01
201954,"Collison, Darren",Darren Collison,0,2009,2021,darren_collison,darren_collison,0,,,,,,Y,11
1629076,"Cook, Tyler",Tyler Cook,1,2019,2021,tyler_cook,tyler_cook,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,11
1627822,"Cornelie, Petr",Petr Cornelie,0,2021,2021,petr_cornelie,petr_cornelie,0,,,,,,Y,11
